# Cartographie détaillée des valeurs générée le 2025-11-14T15:16:58-05:00
# Champ | Libellé | Type | Section | Origine | Observations
consolider_dette | Aimeriez-vous consolider une dette pour éviter les paiements multiples, ramener vos paiements en 1 seul, avoir un taux plus bas et vous libérer d'une dette? | select | Propriété à refinancer | index.php:getFieldDefinitions:consolider_dette | 11
amortissement_desire | Amortissement désiré | text | Propriété à refinancer | index.php:getFieldDefinitions:amortissement_desire | 20
terme_souhaite | Terme souhaité | checkboxes | Propriété à refinancer | index.php:getFieldDefinitions:terme_souhaite | 8
montant_ajouter | Montant à rajouter | text | Propriété à refinancer | index.php:getFieldDefinitions:montant_ajouter | 20
usage_fonds | Usage des fonds | textarea | Propriété à refinancer | index.php:getFieldDefinitions:usage_fonds | 20
mise_de_fonds_option | Option de mise de fonds | select | Nouvel achat | index.php:getFieldDefinitions:mise_de_fonds_option | 20
montant_mise_de_fonds | Montant de la mise de fonds | text | Nouvel achat | index.php:getFieldDefinitions:montant_mise_de_fonds | 20
compte_depuis_3mois | Compte détenu depuis plus de 3 mois | select | Nouvel achat | index.php:getFieldDefinitions:compte_depuis_3mois | 20
assurance_vie_conseiller | Avez-vous déjà un conseiller en sécurité financière pour vos assurances-vie (si un conjoint décède, qu’arrivera-t’il avec la propriété?...)? | select | Assurances | index.php:getFieldDefinitions:assurance_vie_conseiller | 11
assurance_habitation_courtier | Au moment de passer chez le notaire vous devrez obligatoirement fournir une assurance habitation qui couvre le feu. Avez-vous déjà un courtier en assurance qui pourra vous sortir les prix les plus bas? | select | Assurances | index.php:getFieldDefinitions:assurance_habitation_courtier | 11
notaire_nom | Nom complet du notaire | text | Informations du notaire | index.php:getFieldDefinitions:notaire_nom | 1
notaire_telephone | Numéro de téléphone du notaire | text | Informations du notaire | index.php:getFieldDefinitions:notaire_telephone | 1
notaire_email | Courriel du notaire | email | Informations du notaire | index.php:getFieldDefinitions:notaire_email | 1
notaire_adresse | Adresse du notaire | textarea | Informations du notaire | index.php:getFieldDefinitions:notaire_adresse | 1

# Champs non définis mais observés:
# snapshot_consent | occurrences=15 | exemples=1
# adresses[1][type] | occurrences=1 | exemples=Actuel
# adresses[1][numero_rue] | occurrences=1 | exemples=590
# adresses[1][nom_rue] | occurrences=1 | exemples=rue vaya
